field_name,type,description,example,notes
Schedule I Grant Amt to Recipient within 50 Miles,integer,"Total dollar value of grants reported by organization to identifiable charitable organizations based within 50 miles (Form 990, Schedule I, Part II grants with valid EINs)","$138,710,704 ",
Schedule I Num Grants to Recipient within 200 Miles,integer,"Number of grants reported by organization to identifiable charitable organizations based within 200 miles (Form 990, Schedule I, Part II grants with valid EINs)","5,763",
Schedule I Grant Amt to Recipient within 200 Miles,integer,"Total dollar value of grants reported by organization to identifiable charitable organizations based within 200 miles (Form 990, Schedule I, Part II grants with valid EINs)","$840,251,408 ",
Average Distance to Recipient Zip Code,float,Average distance in miles from the organization's ZIP code to its grantees' ZIP codes,901.25,
Foundation-to-DAF Grants,integer,"Amount of grants received by the organization from private foundations (from match to private foundation Form 990, Part XIV)","$112,413,533 ",
Grants from DAFs,integer,Amount of grants received by the organization from DAF sponsors where 80% or more of their grants are made from DAFs,"$126,817,897 ",
Total Charitable Terms (DAF Pages),integer,Field not used for this analysis,"2,059",
Total Customer Terms (DAF Pages),integer,Field not used for this analysis,"2,800",
Total Word Count (DAF Pages),integer,Field not used for this analysis,"119,938",
Total Charitable Terms (Non-DAF Pages),integer,Field not used for this analysis,0,
Total Customer Terms (Non-DAF Pages),integer,Field not used for this analysis,0,
Total Word Count (Non-DAF Pages),integer,Field not used for this analysis,0,
Total Charitable Terms (All Pages),integer,Field not used for this analysis,"2,059",
Total Customer Terms (All Pages),integer,Field not used for this analysis,"2,800",
Total Word Count (All Pages),integer,Field not used for this analysis,"119,938",
Grants Paid as a % of Total Expenses,float,"Total amount of grants paid out (Form 990, Schedule I, Part II grants with valid recipient EINs) by organization divided by the organization's total expenses (Form 990, Part I, Line 18, Current Year)",98.39%,
Rural Perc,float,Field not used for this analysis,0.00%,
